iso3,country,region,disease_exposure,economic_sensitivity,legal_preparedness,domestic_legal_readiness,trade_continuity_preparedness,legal_indicators_available,legal_indicators_total,legal_vulnerability,tvi,data_availability,tvi_class,disease_class,economic_class,legal_class,contrib_disease,contrib_economic,contrib_legal
TCD,Chad,Africa,,62.6,12.5,12.5,,2,5,87.5,75.0,E/L,High,N/A,High,Very Weak,,20.866666666666667,29.166666666666664
AFG,Afghanistan,Asia and the Pacific,85.7,45.3,8.3,,8.3,3,5,91.7,74.2,D/E/L,High,Very High,Moderate,Very Weak,28.566666666666666,15.099999999999998,30.566666666666666
TLS,Timor-Leste,Asia and the Pacific,,47.0,0.0,,0.0,3,5,100.0,73.5,E/L,High,N/A,Moderate,Very Weak,,15.666666666666666,33.33333333333333
MLI,Mali,Africa,100.0,43.2,,,,0,5,,71.6,D/E,High,Very High,Moderate,N/A,33.33333333333333,14.4,
NER,Niger,Africa,,52.4,12.5,12.5,,2,5,87.5,70.0,E/L,High,N/A,Moderate,Very Weak,,17.466666666666665,29.166666666666664
GAB,Gabon,Africa,,70.0,,,,0,5,,70.0,E,High,N/A,High,N/A,,23.333333333333332,
TON,Tonga,Asia and the Pacific,,63.2,27.1,37.5,16.7,5,5,72.9,68.1,E/L,High,N/A,High,Weak,,21.066666666666666,24.3
SLB,Solomon Islands,Asia and the Pacific,,59.6,25.0,25.0,25.0,3,5,75.0,67.3,E/L,High,N/A,Moderate,Weak,,19.866666666666667,25.0
SDN,Sudan,Africa,85.7,41.2,25.0,,25.0,3,5,75.0,67.3,D/E/L,High,Very High,Moderate,Weak,28.566666666666666,13.733333333333334,25.0
MWI,Malawi,Africa,,58.6,25.0,25.0,25.0,3,5,75.0,66.8,E/L,High,N/A,Moderate,Weak,,19.53333333333333,25.0
MRT,Mauritania,Africa,85.7,50.5,37.5,37.5,,2,5,62.5,66.2,D/E/L,High,Very High,Moderate,Weak,28.566666666666666,16.833333333333332,20.833333333333332
KGZ,Kyrgyzstan,Asia and the Pacific,,48.1,16.7,,16.7,3,5,83.3,65.7,E/L,High,N/A,Moderate,Very Weak,,16.03333333333333,27.766666666666666
TGO,Togo,Africa,,56.4,25.0,25.0,,1,5,75.0,65.7,E/L,High,N/A,Moderate,Weak,,18.799999999999997,25.0
TJK,Tajikistan,Asia and the Pacific,,62.8,33.3,,33.3,3,5,66.7,64.8,E/L,High,N/A,High,Weak,,20.93333333333333,22.233333333333334
CPV,Cabo Verde,Africa,,64.6,,,,0,5,,64.6,E,High,N/A,High,N/A,,21.53333333333333,
GIN,Guinea,Africa,,66.4,37.5,37.5,,2,5,62.5,64.4,E/L,High,N/A,High,Weak,,22.133333333333333,20.833333333333332
SSD,South Sudan,Africa,,47.2,18.8,12.5,25.0,3,5,81.2,64.2,E/L,High,N/A,Moderate,Very Weak,,15.733333333333334,27.066666666666666
EGY,Egypt,Africa,71.4,57.0,,,,0,5,,64.2,D/E,High,High,Moderate,N/A,23.8,19.0,
