country,iso3,assessment_year,pvs_assessment_version,indicator,indicator_code,indicator_name,score,score_scale,source,source_url,data_availability,missing_data_flag
Afghanistan,AFG,2017,Public PVS report (edition varies),IV-1A,IV-1A,IV-1A,,1-5,Public PVSIS report (parse incomplete): OIE PVS EVALUATION FOLLOW-UP REPORT OF THE VETERINARY SERVICES OF THE ISLAMIC REPUBLIC OF AFGHANISTAN,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/25,unavailable,True
Afghanistan,AFG,2017,Public PVS report (edition varies),IV-1B,IV-1B,IV-1B,,1-5,Public PVSIS report (parse incomplete): OIE PVS EVALUATION FOLLOW-UP REPORT OF THE VETERINARY SERVICES OF THE ISLAMIC REPUBLIC OF AFGHANISTAN,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/25,unavailable,True
Afghanistan,AFG,2017,Public PVS report (edition varies),IV-4,IV-4,IV-4,2.0,1-5,Public PVSIS report: OIE PVS EVALUATION FOLLOW-UP REPORT OF THE VETERINARY SERVICES OF THE ISLAMIC REPUBLIC OF AFGHANISTAN,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/25,public_report,False
Afghanistan,AFG,2017,Public PVS report (edition varies),IV-6,IV-6,IV-6,1.0,1-5,Public PVSIS report: OIE PVS EVALUATION FOLLOW-UP REPORT OF THE VETERINARY SERVICES OF THE ISLAMIC REPUBLIC OF AFGHANISTAN,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/25,public_report,False
Afghanistan,AFG,2017,Public PVS report (edition varies),IV-7,IV-7,IV-7,1.0,1-5,Public PVSIS report: OIE PVS EVALUATION FOLLOW-UP REPORT OF THE VETERINARY SERVICES OF THE ISLAMIC REPUBLIC OF AFGHANISTAN,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/25,public_report,False
United Arab Emirates,ARE,2024,Public PVS report (edition varies),IV-1A,IV-1A,IV-1A,3.0,1-5,Public PVSIS report: PVS FOLLOW-UP EVALUATION   REPORT OF THE  VETERINARY SERVICES OF  The United Arab Emirates ,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/603,public_report,False
United Arab Emirates,ARE,2024,Public PVS report (edition varies),IV-1B,IV-1B,IV-1B,3.0,1-5,Public PVSIS report: PVS FOLLOW-UP EVALUATION   REPORT OF THE  VETERINARY SERVICES OF  The United Arab Emirates ,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/603,public_report,False
United Arab Emirates,ARE,2024,Public PVS report (edition varies),IV-4,IV-4,IV-4,3.0,1-5,Public PVSIS report: PVS FOLLOW-UP EVALUATION   REPORT OF THE  VETERINARY SERVICES OF  The United Arab Emirates ,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/603,public_report,False
United Arab Emirates,ARE,2024,Public PVS report (edition varies),IV-6,IV-6,IV-6,,1-5,Public PVSIS report: PVS FOLLOW-UP EVALUATION   REPORT OF THE  VETERINARY SERVICES OF  The United Arab Emirates ,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/603,unavailable,True
United Arab Emirates,ARE,2024,Public PVS report (edition varies),IV-7,IV-7,IV-7,2.0,1-5,Public PVSIS report: PVS FOLLOW-UP EVALUATION   REPORT OF THE  VETERINARY SERVICES OF  The United Arab Emirates ,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/603,public_report,False
Argentina,ARG,2014,Public PVS report (edition varies),IV-1A,IV-1A,IV-1A,,1-5,Public PVSIS report (parse incomplete): Informe de Evaluación PVS,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/65,unavailable,True
Argentina,ARG,2014,Public PVS report (edition varies),IV-1B,IV-1B,IV-1B,,1-5,Public PVSIS report (parse incomplete): Informe de Evaluación PVS,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/65,unavailable,True
Argentina,ARG,2014,Public PVS report (edition varies),IV-4,IV-4,IV-4,,1-5,Public PVSIS report (parse incomplete): Informe de Evaluación PVS,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/65,unavailable,True
Argentina,ARG,2014,Public PVS report (edition varies),IV-6,IV-6,IV-6,,1-5,Public PVSIS report (parse incomplete): Informe de Evaluación PVS,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/65,unavailable,True
Argentina,ARG,2014,Public PVS report (edition varies),IV-7,IV-7,IV-7,,1-5,Public PVSIS report (parse incomplete): Informe de Evaluación PVS,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/65,unavailable,True
Australia,AUS,2015,Public PVS report (edition varies),IV-1A,IV-1A,IV-1A,,1-5,"Public PVSIS report (parse incomplete): Self Assessment Annual Report, 2025",https://pvs.woah.org/pvs-is-be/api/document-management/download-public/772,unavailable,True
Australia,AUS,2015,Public PVS report (edition varies),IV-1B,IV-1B,IV-1B,,1-5,"Public PVSIS report (parse incomplete): Self Assessment Annual Report, 2025",https://pvs.woah.org/pvs-is-be/api/document-management/download-public/772,unavailable,True
Australia,AUS,2015,Public PVS report (edition varies),IV-4,IV-4,IV-4,,1-5,"Public PVSIS report (parse incomplete): Self Assessment Annual Report, 2025",https://pvs.woah.org/pvs-is-be/api/document-management/download-public/772,unavailable,True
Australia,AUS,2015,Public PVS report (edition varies),IV-6,IV-6,IV-6,,1-5,"Public PVSIS report (parse incomplete): Self Assessment Annual Report, 2025",https://pvs.woah.org/pvs-is-be/api/document-management/download-public/772,unavailable,True
Australia,AUS,2015,Public PVS report (edition varies),IV-7,IV-7,IV-7,,1-5,"Public PVSIS report (parse incomplete): Self Assessment Annual Report, 2025",https://pvs.woah.org/pvs-is-be/api/document-management/download-public/772,unavailable,True
Benin,BEN,2013,Public PVS report (edition varies),IV-1A,IV-1A,IV-1A,,1-5,Public PVSIS report (parse incomplete): RAPPORT DE LA MISSION DE SUIVI DE L’ÉVALUATION PVS DES SERVICES VÉTÉRINAIRES DU BENIN,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/38,unavailable,True
